steps	date	interval
NA	2012-10-01	1225
NA	2012-10-01	1230
NA	2012-10-01	1235
NA	2012-10-01	1240
NA	2012-10-01	1245
NA	2012-10-01	1250
NA	2012-10-01	1255
NA	2012-10-01	1300
NA	2012-10-01	1305
NA	2012-10-01	1310
NA	2012-10-01	1315
NA	2012-10-01	1320
NA	2012-10-01	1325
NA	2012-10-01	1330
NA	2012-10-01	1335
NA	2012-10-01	1340
NA	2012-10-01	1345
NA	2012-10-01	1350
NA	2012-10-01	1355
NA	2012-10-01	1400
NA	2012-10-01	1405
NA	2012-10-01	1410
NA	2012-10-01	1415
NA	2012-10-01	1420
NA	2012-10-01	1425
NA	2012-10-01	1430
NA	2012-10-01	1435
NA	2012-10-01	1440
NA	2012-10-01	1445
NA	2012-10-01	1450
NA	2012-10-01	1455
NA	2012-10-01	1500
NA	2012-10-01	1505
NA	2012-10-01	1510
NA	2012-10-01	1515
NA	2012-10-01	1520
NA	2012-10-01	1525
NA	2012-10-01	1530
NA	2012-10-01	1535
NA	2012-10-01	1540
NA	2012-10-01	1545
NA	2012-10-01	1550
NA	2012-10-01	1555
NA	2012-10-01	1600
NA	2012-10-01	1605
NA	2012-10-01	1610
NA	2012-10-01	1615
NA	2012-10-01	1620
NA	2012-10-01	1625
NA	2012-10-01	1630
NA	2012-10-01	1635
NA	2012-10-01	1640
NA	2012-10-01	1645
NA	2012-10-01	1650
NA	2012-10-01	1655
NA	2012-10-01	1700
NA	2012-10-01	1705
NA	2012-10-01	1710
NA	2012-10-01	1715
NA	2012-10-01	1720
NA	2012-10-01	1725
NA	2012-10-01	1730
NA	2012-10-01	1735
NA	2012-10-01	1740
NA	2012-10-01	1745
NA	2012-10-01	1750
NA	2012-10-01	1755
NA	2012-10-01	1800
NA	2012-10-01	1805
NA	2012-10-01	1810
NA	2012-10-01	1815
NA	2012-10-01	1820
NA	2012-10-01	1825
NA	2012-10-01	1830
NA	2012-10-01	1835
NA	2012-10-01	1840
NA	2012-10-01	1845
NA	2012-10-01	1850
NA	2012-10-01	1855
NA	2012-10-01	1900
NA	2012-10-01	1905
NA	2012-10-01	1910
NA	2012-10-01	1915
NA	2012-10-01	1920
NA	2012-10-01	1925
NA	2012-10-01	1930
NA	2012-10-01	1935
NA	2012-10-01	1940
NA	2012-10-01	1945
NA	2012-10-01	1950
NA	2012-10-01	1955
NA	2012-10-01	2000
NA	2012-10-01	2005
NA	2012-10-01	2010
NA	2012-10-01	2015
NA	2012-10-01	2020
NA	2012-10-01	2025
NA	2012-10-01	2030
NA	2012-10-01	2035
NA	2012-10-01	2040
NA	2012-10-01	2045
NA	2012-10-01	2050
NA	2012-10-01	2055
NA	2012-10-01	2100
NA	2012-10-01	2105
NA	2012-10-01	2110
NA	2012-10-01	2115
NA	2012-10-01	2120
NA	2012-10-01	2125
NA	2012-10-01	2130
NA	2012-10-01	2135
NA	2012-10-01	2140
NA	2012-10-01	2145
NA	2012-10-01	2150
NA	2012-10-01	2155
NA	2012-10-01	2200
NA	2012-10-01	2205
NA	2012-10-01	2210
NA	2012-10-01	2215
NA	2012-10-01	2220
NA	2012-10-01	2225
NA	2012-10-01	2230
NA	2012-10-01	2235
NA	2012-10-01	2240
NA	2012-10-01	2245
NA	2012-10-01	2250
NA	2012-10-01	2255
NA	2012-10-01	2300
NA	2012-10-01	2305
NA	2012-10-01	2310
NA	2012-10-01	2315
NA	2012-10-01	2320
NA	2012-10-01	2325
NA	2012-10-01	2330
NA	2012-10-01	2335
NA	2012-10-01	2340
NA	2012-10-01	2345
NA	2012-10-01	2350
NA	2012-10-01	2355
0	2012-10-02	0
0	2012-10-02	5
0	2012-10-02	10
0	2012-10-02	15
0	2012-10-02	20
0	2012-10-02	25
0	2012-10-02	30
0	2012-10-02	35
0	2012-10-02	40
0	2012-10-02	45
0	2012-10-02	50
0	2012-10-02	55
0	2012-10-02	100
0	2012-10-02	105
0	2012-10-02	110
0	2012-10-02	115
0	2012-10-02	120
0	2012-10-02	125
0	2012-10-02	130
0	2012-10-02	135
0	2012-10-02	140
0	2012-10-02	145
0	2012-10-02	150
0	2012-10-02	155
0	2012-10-02	200
0	2012-10-02	205
0	2012-10-02	210
0	2012-10-02	215
0	2012-10-02	220
0	2012-10-02	225
0	2012-10-02	230
0	2012-10-02	235
0	2012-10-02	240
0	2012-10-02	245
0	2012-10-02	250
0	2012-10-02	255
0	2012-10-02	300
0	2012-10-02	305
0	2012-10-02	310
0	2012-10-02	315
0	2012-10-02	320
0	2012-10-02	325
0	2012-10-02	330
0	2012-10-02	335
0	2012-10-02	340
0	2012-10-02	345
0	2012-10-02	350
0	2012-10-02	355
0	2012-10-02	400
0	2012-10-02	405
0	2012-10-02	410
0	2012-10-02	415
0	2012-10-02	420
0	2012-10-02	425
0	2012-10-02	430
0	2012-10-02	435
0	2012-10-02	440
0	2012-10-02	445
0	2012-10-02	450
0	2012-10-02	455
0	2012-10-02	500
0	2012-10-02	505
0	2012-10-02	510
0	2012-10-02	515
0	2012-10-02	520
0	2012-10-02	525
0	2012-10-02	530
0	2012-10-02	535
0	2012-10-02	540
0	2012-10-02	545
0	2012-10-02	550
0	2012-10-02	555
0	2012-10-02	600
0	2012-10-02	605
0	2012-10-02	610
0	2012-10-02	615
0	2012-10-02	620
0	2012-10-02	625
0	2012-10-02	630
0	2012-10-02	635
0	2012-10-02	640
0	2012-10-02	645
0	2012-10-02	650
0	2012-10-02	655
0	2012-10-02	700
0	2012-10-02	705
0	2012-10-02	710
0	2012-10-02	715
0	2012-10-02	720
0	2012-10-02	725
0	2012-10-02	730
0	2012-10-02	735
0	2012-10-02	740
0	2012-10-02	745
0	2012-10-02	750
0	2012-10-02	755
0	2012-10-02	800
0	2012-10-02	805
0	2012-10-02	810
0	2012-10-02	815
0	2012-10-02	820
